image_url,tweet,label
train\low\tr0_1.jpg,The road appears clear with one car visible on the left side and another further down the street. There seems to be an absence of any significant traffic congestion at present.,0
train\low\tr0_10.jpg,The scene shows a two-lane highway with light traffic. Vehicles travel at varying speeds without any visible congestion. A bus stop stands vacant next to the road.,0
train\low\tr0_1001.jpg,"There's light traffic on the E39 Kjellandsfjellet motorway, with several cars traveling along the two-lane roadway. No noticeable congestion or unusual events are present in the scene captured by the webcam.",0
train\low\tr0_1002.jpg,"Traffic cameras capture smooth flow along E6 highway near Stavanger, Norway, showing minimal congestion with just two cars present.",0
train\low\tr0_1003.jpg,A two-lane bridge has light traffic consisting of several cars traveling at different distances from each other. There's no noticeable congestion or unusual events happening on this section of the highway.,0
train\low\tr0_1004.jpg,"There's light traffic on the right lane of E6 Vestby Moss motorway. A single white car can be observed traveling towards Moss. No other cars appear to be nearby, suggesting low-density traffic.",0
train\low\tr0_1005.jpg,The scene shows an open stretch of highway with light traffic consisting of two blue cars driving parallel to one another. There's no sign of congestion or heavy vehicle counts.,0
train\low\tr0_1006.jpg,"Highway E39 near Bergen displays moderate traffic density with multiple cars and trucks dispersed across lanes, suggesting typical travel conditions. No noticeable congestion or unusual events impact the traffic flow.",0
train\low\tr0_1010.jpg,The E394 Karasundbrua bridge has light traffic with multiple lanes available for drivers. There's no noticeable congestion or unusual events happening within the frame,0
train\low\tr0_1013.jpg,"Traffic flows freely along two-lane E6 Stabben motorway. Vehicles are dispersed uniformly between lanes, suggesting minimal congestion. No signs of severe traffic backups or over-density suggest smooth operation. Road appears well-managed, ensuring safety amidst steady vehicular",0
train\low\tr0_1014.jpg,A single car travels along an empty highway by a serene lake under overcast skies. There's no sign of heavy traffic or unusual events.,0
train\low\tr0_1017.jpg,"The scene shows an empty street with clear weather and bright sunlight. There is no visible presence of cars or pedestrians, indicating low traffic density at this moment. The absence of any unusual events suggests normalcy in terms of traffic anomalies.",0
train\low\tr0_102.jpg,"The highway has three lanes in each direction, with two lanes open in both directions. There's moderate traffic density as evidenced by multiple vehicles occupying these lanes. No major disruptions or accidents have been observed based on the available visual data.",0
train\low\tr0_1020.jpg,The E18 highway near Drammen has light traffic at rush hour during daytime. The road appears clear without any visible obstructions or accidents.,0
train\low\tr0_1021.jpg,"Traffic cameras capture smooth movement along multiple lanes, indicating minimal congestion. A variety of vehicles traverse the scene, showcasing typical urban transportation patterns. No significant traffic issues or anomalies can be observed during this time period.",0
train\low\tr0_1025.jpg,The Eidsvåg 1 webcam captures an empty highway with smooth traffic flow. A bus can be seen traveling down one lane while another approaches from behind it. No visible signs of congestion or unusual events suggest a typical day without heavy traffic volume.,0
train\low\tr0_1026.jpg,The E6 Djupdalens motorway has light traffic with few cars present. There are no noticeable traffic jams or congestion issues during this time period.,0
train\low\tr0_1027.jpg,"The E18 motorway has two lanes running parallel without any visible obstructions or heavy traffic congestion. A truck can be seen traveling along one lane while another vehicle occupies the adjacent lane. Both lanes appear to have adequate space between vehicles, ensuring safe driving conditions.",0
train\low\tr0_1028.jpg,"The scene shows an empty highway with no visible vehicles. There's also a sign indicating ""E39 Møbergstrua"". The area appears under construction based on the presence of wooden planks.",0
train\low\tr0_1029.jpg,The scene shows an open highway with two lanes running parallel. There's moderate vehicle activity as multiple cars travel at varying distances from each other along both directions. No visible signs of congestion or unusual events occur within this section of the roadway.,0
train\low\tr0_103.jpg,The scene shows an open highway with light traffic consisting mainly of one red car driving down the center lane. There's also another vehicle further back along the right side of the road. A bus stop stands to the left near the edge of the road.,0
train\low\tr0_1030.jpg,The scene shows a highway with light traffic consisting of multiple cars traveling along it without any noticeable delays or bottlenecks.,0
train\low\tr0_1031.jpg,"Traffic flows freely along multiple lanes around a large circular intersection. Vehicles maintain safe distances as they navigate the area, indicating smooth movement without significant congestion.",0
train\low\tr0_1035.jpg,"The highway appears clear with minimal traffic, suggesting light vehicle volume at this time.",0
train\low\tr0_1036.jpg,The scene shows an empty street with only one car driving down the center lane. There's another vehicle parked further back along the right side of the road. No other cars can be seen in either direction.,0
train\low\tr0_1037.jpg,A clear road with light traffic shows two cars traveling at regular speed. No sign of congestion or unusual events. Parking area nearby indicates low vehicle presence.,0
train\low\tr0_1039.jpg,A busy intersection shows smooth traffic flow with multiple lanes and few vehicles present including buses and cars. No noticeable congestion or delays can be observed.,0
train\low\tr0_1040.jpg,A solitary white SUV travels along an empty highway with construction work taking place nearby. There is no noticeable traffic congestion.,0
train\low\tr0_1045.jpg,"Highway E39 Auglend ser (50 moh - remling Sandnes) features two lanes per direction with several cars dispersed at various distances from one another. Traffic appears smooth, with minimal congestion or clustering evident among vehicles traveling through this area during daytime hours under clear skies.",0
train\low\tr0_1046.jpg,"The scene shows an intersection with light traffic during daytime. There are multiple lanes visible, but only a few vehicles can be seen moving through them without any noticeable congestion.",0
train\low\tr0_1047.jpg,The image shows an empty highway bridge with clear weather conditions. There is no visible traffic or vehicle activity. The sky appears overcast above the mountainous landscape.,0
train\low\tr0_1051.jpg,"The E39 Vågsbotn 2 (91 moh) webcam shows an open highway with light traffic moving smoothly along two lanes. There's minimal congestion, and cars maintain consistent distances from each other, indicating good driving behavior.",0
train\low\tr0_1052.jpg,The image captures an empty highway during daytime without any visible signs of traffic. There isn't enough detail available from this source alone to accurately determine if there were previous traffic issues or delays. The absence of cars suggests low traffic density at the time when the photo was taken.,0
train\low\tr0_106.jpg,"Highway E39 has light-to-moderate traffic density with multiple vehicles present. All lanes are clear, and there are no noticeable congestions or delays.",0
train\low\tr0_1060.jpg,A clear view of a two-lane highway running parallel to a lake. Traffic appears light with just three cars present. No sign of congestion or unusual events like accidents or construction work.,0
train\low\tr0_1061.jpg,The scene shows an empty highway with only one car visible at a distance. There is no noticeable traffic congestion or any other abnormalities.,0
train\low\tr0_1062.jpg,"Highway E18 has two open lanes without noticeable traffic congestion. A few cars can be seen driving, including one close to an off-ramp and another further down the road. The overall traffic situation seems normal and uneventful.",0
train\low\tr0_1063.jpg,Highway near lake with light traffic; several cars spaced evenly across lanes; no noticeable congestion or obstructions.,0
train\low\tr0_1066.jpg,"The highway appears clear with light vehicle traffic, showing smooth flow and minimal congestion.",0
train\low\tr0_1067.jpg,The scene shows an open highway bridge with light traffic consisting mainly of cars. There's minimal congestion as vehicles maintain their distance from each other while traveling at varying speeds along multiple lanes.,0
train\low\tr0_1068.jpg,The image captures an E134 Karasundbrua bridge with one vehicle visible. The road appears clear without any noticeable traffic congestion or anomalies.,0
train\low\tr0_1069.jpg,"The scene shows two lanes of clear traffic without any notable congestion. A single bus travels along its dedicated lane while a pedestrian walks safely outside the roadway near some trees. Another car can be seen farther away, appearing still due to lack of discernible motion.",0
train\low\tr0_107.jpg,The scene shows an open street with light traffic consisting of two vehicles. There appears to be no noticeable congestion or unusual events taking place within the frame.,0
train\low\tr0_1071.jpg,"The scene shows an empty street with a single vehicle driving along it. There are trees lining both sides of the street, adding some greenery to the urban landscape. The weather appears sunny and clear, casting light shadows across the pavement. Overall, the traffic situation seems calm and uneventful.",0
train\low\tr0_1074.jpg,A single car travels along an empty highway during daytime. There's no sign of heavy traffic or any unusual events.,0
train\low\tr0_1082.jpg,"The scene shows an open highway with two lanes where multiple cars are driving along. There's minimal traffic congestion as most vehicles appear to be spaced out evenly across the lanes. A few cars have noticeable gaps between them, indicating smooth movement. Overall, it seems like a typical day with moderate vehicle activity on the road.",0
train\low\tr0_1083.jpg,"The image captures an empty highway stretching out into the distance under a clear blue sky dotted with fluffy white clouds. The highway, devoid of any cars, runs parallel to a lush green hill and a serene lake. On either side of the highway, there are two lanes marked by yellow lines, guiding drivers along their journey. To the right of the highway, a dirt path meanders its way through the landscape, adding another layer of depth to this tranquil scene. There are no visible signs of human activity aside from the presence of a few trees scattered around the area. Despite being devoid of people and vehicles, the image exudes a sense of calmness and tranquility. It's as if time has paused here, allowing nature to take center stage amidst the stillness.",0
train\low\tr0_1084.jpg,"There's moderate traffic on E18 Hjortnes (3 minh - retning sentrum) as indicated by multiple trucks and other vehicles occupying lanes. No significant congestion is observed, but occasional pauses suggest minor delays might occur occasionally. Overall, the traffic appears steady without any noticeable abnormalities.",0
train\low\tr0_1086.jpg,Highway E39 Auglend ser (50 moh) - remming Sandnes webcam shows an empty road during daytime without any noticeable traffic congestion.,0
train\low\tr0_109.jpg,"The provided data only mentions ""E18 Twelten (13 moh - refitting Drammen)"", which refers to an area along E18 highway where some work might be taking place at kilometer point 13 near Drammen. There isn't enough specific information regarding traffic density or anomalies present within this context.",0
train\low\tr0_1092.jpg,"Highway with light traffic, multiple lanes open, cars spaced apart at a moderate speed. No signs of congestion or unusual events.",0
train\low\tr0_1094.jpg,"Traffic flows freely without any noticeable congestion or bottlenecks. Vehicles maintain safe distances as they navigate through two distinct lanes. No significant variations in vehicle count suggest unusual activity such as accidents or construction work. Overall, it appears to be a regular day on the highway with normal traffic patterns.",0
train\low\tr0_1096.jpg,"The E18 highway between Svartskog and Vinterbro has light traffic, showing just a handful of vehicles traveling both directions. There's no sign of congestion or unusual events affecting the overall flow of traffic.",0
train\low\tr0_1098.jpg,The scene shows an open highway with multiple lanes where several cars are driving at different speeds. There's one bus visible among them. Traffic appears smooth without any noticeable congestion.,0
train\low\tr0_110.jpg,Highway E18 Lierkogen 2 (203 kmh) near Drammen shows moderate traffic density with several vehicles present along the road. There's no sign of severe congestion or unusual events such as accidents or construction work that could impact travel times significantly.,0
train\low\tr0_1102.jpg,"There is light traffic on the roadways, indicating moderate usage but not causing significant congestion. All lanes remain open without noticeable obstructions or unusual events affecting vehicle movement.",0
train\low\tr0_1104.jpg,Highway E6 near Vestby shows moderate traffic density with multiple cars traveling along the road. No noticeable congestion or unusual incidents are observed.,0
